"custid","mortgage","cre_card","deb_card","mob_bank","house","internet","perloan","savings","atm_user","odrftlim","points_user","age","conv_ac","cus_leng","Accept_Cashcard"
123456,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",18,"NO","menor 3 años","NO"
11130919,"SI","NO","SI","SI","NO","NO","NO","NO","SI","NO","NO",18,"SI"," 3 - 7 años","SI"
13077503,"SI","NO","SI","NO","NO","NO","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","SI"
2959926,"NO","NO","SI","SI","NO","NO","NO","NO","NO","NO","NO",18,"NO","menor 3 años","SI"
30681734,"SI","SI","SI","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
14615455,"SI","NO","SI","NO","NO","NO","SI","NO","SI","NO","NO",18,"SI"," 3 - 7 años","NO"
722871,"NO","NO","SI","SI","SI","NO","NO","NO","NO","NO","NO",18,"NO"," 3 - 7 años","SI"
11037974,"NO","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO",18,"NO","menor 3 años","SI"
17535976,"SI","NO","NO","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
26513736,"SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI",18,"SI","menor 3 años","SI"
17204687,"SI","NO","SI","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI","mas de 7 años","NO"
2311326,"SI","SI","SI","NO","SI","NO","NO","NO","NO","NO","NO",18,"SI"," 3 - 7 años","SI"
32958675,"SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO",18,"SI","menor 3 años","SI"
19501578,"SI","SI","SI","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI","mas de 7 años","SI"
1102596,"SI","NO","NO","NO","NO","NO","NO","SI","NO","NO","SI",18,"SI","menor 3 años","SI"
18794402,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",18,"SI"," 3 - 7 años","SI"
23332136,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",18,"SI","menor 3 años","SI"
14392539,"SI","NO","SI","NO","SI","NO","NO","NO","SI","NO","NO",18,"SI"," 3 - 7 años","NO"
18135807,"SI","SI","NO","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","NO"
6231209,"SI","NO","SI","NO","SI","NO","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","SI"
24825128,"NO","SI","SI","SI","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","NO"
18915834,"SI","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","NO"
14985442,"NO","NO","SI","NO","NO","NO","NO","NO","NO","NO","SI",18,"SI","menor 3 años","SI"
13580324,"SI","NO","SI","NO","SI","NO","NO","NO","NO","NO","SI",18,"SI","menor 3 años","SI"
17113766,"SI","NO","SI","NO","SI","NO","NO","NO","NO","SI","SI",18,"SI","menor 3 años","SI"
25627957,"SI","NO","SI","NO","SI","NO","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","SI"
10525177,"SI","SI","SI","NO","NO","NO","NO","NO","SI","NO","NO",18,"SI","menor 3 años","SI"
38293535,"SI","SI","NO","SI","NO","NO","SI","NO","NO","NO","NO",18,"SI"," 3 - 7 años","SI"
8725909,"SI","SI","SI","NO","SI","SI","NO","SI","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
4019266,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","NO"
1241233,"SI","SI","NO","NO","SI","NO","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","SI"
17171653,"NO","SI","NO","NO","SI","SI","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","SI"
15157208,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI","mas de 7 años","SI"
16852657,"SI","NO","SI","NO","NO","NO","NO","NO","NO","NO","NO",18,"SI"," 3 - 7 años","SI"
1889792,"SI","NO","NO","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","NO"
5774340,"SI","NO","SI","SI","SI","NO","NO","NO","SI","NO","NO",18,"SI","menor 3 años","SI"
21440870,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
6538494,"SI","NO","NO","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI","menor 3 años","NO"
21572605,"NO","SI","SI","SI","NO","NO","NO","NO","NO","NO","SI",18,"SI","menor 3 años","SI"
20832349,"SI","NO","SI","NO","SI","NO","NO","NO","NO","SI","NO",18,"SI","menor 3 años","SI"
24050185,"SI","NO","SI","SI","SI","NO","NO","NO","SI","NO","NO",18,"SI","menor 3 años","SI"
18775346,"SI","SI","NO","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","NO"
14991988,"SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","NO",18,"SI","menor 3 años","SI"
1851893,"NO","NO","SI","NO","SI","NO","NO","NO","NO","NO","NO",18,"NO"," 3 - 7 años","NO"
30103684,"SI","SI","NO","NO","NO","NO","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","SI"
1043476,"SI","SI","NO","NO","NO","SI","NO","NO","NO","NO","NO",18,"SI"," 3 - 7 años","SI"
19674672,"SI","SI","SI","NO","NO","NO","NO","NO","SI","NO","NO",18,"SI"," 3 - 7 años","SI"
13469189,"SI","SI","NO","NO","NO","NO","NO","NO","NO","SI","NO",18,"SI"," 3 - 7 años","SI"
17714404,"SI","NO","SI","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
24972397,"SI","SI","NO","NO","NO","NO","NO","NO","NO","SI","NO",18,"SI","menor 3 años","SI"
14138359,"SI","SI","SI","NO","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
20698097,"NO","NO","SI","NO","NO","NO","NO","NO","NO","SI","SI",18,"NO"," 3 - 7 años","SI"
2548818,"SI","SI","NO","NO","SI","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","NO"
14654236,"NO","NO","SI","NO","SI","NO","NO","NO","SI","NO","NO",18,"SI","menor 3 años","SI"
39110957,"SI","NO","SI","NO","NO","NO","NO","NO","SI","NO","SI",18,"SI"," 3 - 7 años","NO"
19896637,"SI","SI","NO","NO","NO","NO","NO","NO","SI","NO","NO",18,"SI","menor 3 años","SI"
23717034,"SI","NO","SI","SI","NO","NO","NO","NO","SI","SI","NO",18,"SI"," 3 - 7 años","SI"
